title,price,star_rating,img_path
Sapiens A Brief History of Humankind,54.23,5,./processed/images/5_star/Sapiens A Brief History of Humankind.png
Set Me Free,17.46,5,./processed/images/5_star/Set Me Free.png
Scott Pilgrim's Precious Little Life (Scott Pilgri,52.29,5,./processed/images/5_star/Scott Pilgrim's Precious Little Life (Scott Pilgri.png
Rip it Up and Start Again,35.02,5,./processed/images/5_star/Rip it Up and Start Again.png
Chase Me (Paris Nights #2),25.27,5,./processed/images/5_star/Chase Me (Paris Nights #2).png
Black Dust,34.53,5,./processed/images/5_star/Black Dust.png
Worlds Elsewhere Journeys Around Shakespeareâs ,40.3,5,./processed/images/5_star/Worlds Elsewhere Journeys Around Shakespeareâs .png
The Four Agreements A Practical Guide to Personal,17.66,5,./processed/images/5_star/The Four Agreements A Practical Guide to Personal.png
The Elephant Tree,23.82,5,./processed/images/5_star/The Elephant Tree.png
Sophie's World,15.94,5,./processed/images/5_star/Sophie's World.png
Private Paris (Private #10),47.61,5,./processed/images/5_star/Private Paris (Private #10).png
#HigherSelfie Wake Up Your Life Free Your Soul ,23.11,5,./processed/images/5_star/#HigherSelfie Wake Up Your Life Free Your Soul .png
"We Love You, Charlie Freeman",50.27,5,"./processed/images/5_star/We Love You, Charlie Freeman.png"
Thirst,17.27,5,./processed/images/5_star/Thirst.png
